
0.000042,0.000107,0.000024|6009081.500000,2989538.750000,0.000001|6258677.500000,2918260.250000,0.000001|-6258682.500000,-2918266.500000,0.000001|2918260.250000,6258677.500000,0.000001|-2918266.250000,-6258682.500000,0.000001|-156410159562752.000000,-250255949955072.000000,-31281993744384.000000|-94944303775744.000000,-388407784112128.000000,-112205433405440.000000|
0.000043,0.000109,0.000024|5988210.500000,3030874.500000,0.000001|6238942.500000,2958884.250000,0.000001|-6238948.000000,-2958890.500000,0.000001|2958884.250000,6238942.500000,0.000001|-2958890.250000,-6238948.000000,0.000001|-158744591728640.000000,-253991027998720.000000,-31748878499840.000000|-96361357770752.000000,-394204815556608.000000,-113880093163520.000000|
0.000043,0.000110,0.000025|5967055.500000,3072066.500000,0.000001|6218936.000000,2999379.250000,0.000001|-6218941.500000,-2999385.500000,0.000001|2999379.250000,6218936.000000,0.000001|-2999385.250000,-6218941.500000,0.000001|-161079023894528.000000,-257726106042368.000000,-32215763255296.000000|-97778411765760.000000,-400001847001088.000000,-115554752921600.000000|
0.000044,0.000112,0.000025|5945617.000000,3113112.500000,0.000001|6198658.000000,3039743.250000,0.000001|-6198663.500000,-3039749.750000,0.000001|3039743.250000,6198658.000000,0.000001|-3039749.500000,-6198663.500000,0.000001|-163413456060416.000000,-261461184086016.000000,-32682648010752.000000|-99195465760768.000000,-405798878445568.000000,-117229412679680.000000|
0.000045,0.000113,0.000025|5923896.500000,3154010.750000,0.000001|6178109.500000,3079974.750000,0.000001|-6178115.500000,-3079981.500000,0.000001|3079974.750000,6178109.500000,0.000001|-3079981.250000,-6178115.500000,0.000001|-165747888226304.000000,-265196262129664.000000,-33149532766208.000000|-100612519755776.000000,-411595909890048.000000,-118904064049152.000000|
0.000045,0.000115,0.000026|5901894.500000,3194759.250000,0.000001|6157291.500000,3120072.000000,0.000001|-6157298.000000,-3120078.750000,0.000001|3120072.000000,6157291.500000,0.000001|-3120078.500000,-6157298.000000,0.000001|-168082303614976.000000,-268931340173312.000000,-33616417521664.000000|-102029573750784.000000,-417392941334528.000000,-120578715418624.000000|
0.000046,0.000116,0.000026|5879612.500000,3235356.000000,0.000001|6136205.000000,3160033.000000,0.000001|-6136211.500000,-3160040.000000,0.000001|3160033.000000,6136205.000000,0.000001|-3160039.750000,-6136211.500000,0.000001|-170416719003648.000000,-272666401439744.000000,-34083300179968.000000|-103446627745792.000000,-423189972779008.000000,-122253366788096.000000|
0.000046,0.000118,0.000027|5857051.000000,3275799.000000,0.000001|6114850.500000,3199856.000000,0.000001|-6114857.500000,-3199863.250000,0.000001|3199856.000000,6114850.500000,0.000001|-3199863.000000,-6114857.500000,0.000001|-172751134392320.000000,-276401462706176.000000,-34550182838272.000000|-104863681740800.000000,-428986970669056.000000,-123928018157568.000000|
0.000047,0.000120,0.000027|5834211.500000,3316086.500000,0.000001|6093229.000000,3239539.250000,0.000001|-6093236.500000,-3239546.750000,0.000001|3239539.250000,6093229.000000,0.000001|-3239546.500000,-6093236.500000,0.000001|-175085549780992.000000,-280136523972608.000000,-35017065496576.000000|-106280735735808.000000,-434783968559104.000000,-125602669527040.000000|
0.000048,0.000121,0.000027|5811095.000000,3356216.500000,0.000001|6071341.500000,3279081.000000,0.000001|-6071349.000000,-3279088.750000,0.000001|3279081.000000,6071341.500000,0.000001|-3279088.500000,-6071349.000000,0.000001|-177419965169664.000000,-283871568461824.000000,-35483946057728.000000|-107697789730816.000000,-440580966449152.000000,-127277320896512.000000|
